"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "PostCSS", "TypeScript JSX", "JavaScript JSX", "XML", "Python", "HTML", "MS SQL", "Makefile", "Perl", "Markdown", "C++", "CUDA C++", "XSL", "Ini", "C", "reStructuredText", "Properties", "comment", "blank", "total"
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\aplsys_db.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 312, 335, 985
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\_yaml\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 34
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\annotated_types\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 84, 433
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\annotated_types\test_cases.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 152
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 109
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_backends\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_backends\_asyncio.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 2314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 496, 2947
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_backends\_trio.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 263, 1376
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_asyncio_selector_thread.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 168
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_contextmanagers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 31, 201
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_eventloop.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 32, 167
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 15, 135
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_fileio.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 146, 741
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_resources.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 19
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 28
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_sockets.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 97, 935
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_streams.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 53
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_subprocesses.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 22, 203
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_synchronization.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 149, 733
"c:\Users\JayAxeil\Documents\IT\VScode\APLSys\backend\libs\anyio\_core\_tasks.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 28, 159
